R_um,f_t0min,f_t10min,f_t20min,f_t30min,f_t40min,f_t50min,f_t60min
3.345932415519399239e+00,1.602865520422477211e-08,9.297088464545579029e-08,7.320641873000770387e-08,5.199564937001509514e-08,3.655784170398364196e-08,3.252957528192626184e-08,3.291969344669159058e-08
3.395869837296620730e+00,1.741162518614808671e-08,9.665108550606387130e-08,7.601452226914274292e-08,5.396719371729121145e-08,3.793908245123771078e-08,3.378796605622474369e-08,3.417534315083345328e-08
3.445807259073842221e+00,1.890213138438542902e-08,1.004398118632322082e-07,7.889869478250454699e-08,5.599064549520996190e-08,3.935656734191556669e-08,3.508209609606882937e-08,3.546518239474838134e-08
3.495744680851063713e+00,2.050744192365591614e-08,1.043398447044887999e-07,8.186051700340291764e-08,5.806700979359918335e-08,4.081101348144487306e-08,3.641286983071900449e-08,3.678997898540737310e-08
3.545682102628285204e+00,2.223522088391701107e-08,1.083540468560354385e-07,8.490160522502110318e-08,6.019731216623243920e-08,4.230315526764124027e-08,3.778122279883580368e-08,3.815052278942549052e-08
3.595619524405506695e+00,2.409354201722677093e-08,1.124853651480043350e-07,8.802361206399544682e-08,6.238259902734701263e-08,4.383374501936330096e-08,3.918812295875977509e-08,3.954762649130105721e-08
3.645556946182728630e+00,2.609090229506378857e-08,1.167368325978006570e-07,9.122822723412721652e-08,6.462393805409199742e-08,4.540355364672443917e-08,4.063457205979169389e-08,4.098212638182999505e-08
3.695494367959950122e+00,2.823623521907988471e-08,1.211115706078708468e-07,9.451717832975407789e-08,6.692241859484475870e-08,4.701337136681505051e-08,4.212160707720136417e-08,4.245488317809152043e-08
3.745431789737171613e+00,3.053892382371368516e-08,1.256127911738609611e-07,9.789223161824896923e-08,6.927915208332131083e-08,4.866400846932158096e-08,4.365030171377407490e-08,4.396678287647944801e-08
3.795369211514393104e+00,3.300881329453609124e-08,1.302437990987355306e-07,1.013551928410475792e-07,7.169527245839232908e-08,5.035629613691294922e-08,4.522176797078090866e-08,4.551873764033606089e-08
3.845306633291614595e+00,3.565622312165944816e-08,1.350079942080169635e-07,1.049079080225360123e-07,7.417193658950207252e-08,5.209108732580318064e-08,4.683715779133183387e-08,4.711168672383493438e-08
3.895244055068836087e+00,3.849195870304842847e-08,1.399088735608812905e-07,1.085522642860562972e-07,7.671032470757287750e-08,5.386925771250314788e-08,4.849766477913722208e-08,4.874659743385441175e-08
3.945181476846057578e+00,4.152732230815249398e-08,1.449500336514114010e-07,1.122901906762077325e-07,7.931164084126168178e-08,5.569170671344610290e-08,5.020452599576269090e-08,5.042446613168454465e-08
3.995118898623279069e+00,4.477412330796712147e-08,1.501351725938638811e-07,1.161236589865364198e-07,8.197711325841889273e-08,5.755935858492396293e-08,5.195902383951386190e-08,5.214631927652050487e-08
4.045056320400500560e+00,4.824468757345947915e-08,1.554680922853608628e-07,1.200546845916163995e-07,8.470799491258256186e-08,5.947316361161244959e-08,5.376248800912791686e-08,5.391321451281091504e-08
4.094993742177721607e+00,5.195186594030079153e-08,1.609527005389698129e-07,1.240853272824288268e-07,8.750556389432388778e-08,6.143409939289994616e-08,5.561629755547938788e-08,5.572624180365646901e-08
4.144931163954943543e+00,5.590904163406590614e-08,1.665930131796910608e-07,1.282176921038447684e-07,9.037112388724195054e-08,6.344317223728661503e-08,5.752188302452242068e-08,5.758652461258704402e-08
4.194868585732164590e+00,6.013013654652863345e-08,1.723931560954358745e-07,1.324539301929063409e-07,9.330600462838690633e-08,6.550141867629142686e-08,5.948072869469326539e-08,5.949522113619092565e-08
4.244806007509386525e+00,6.462961625045068899e-08,1.783573672346490323e-07,1.367962396164893953e-07,9.631156237287452615e-08,6.760990711061672064e-08,6.149437491197979543e-08,6.145352559022389965e-08
4.294743429286607572e+00,6.942249363735148916e-08,1.844899985418077207e-07,1.412468662068059374e-07,9.938918036243552021e-08,6.976973960278416928e-08,6.356442052582869741e-08,6.346266955199282396e-08
4.344680851063829508e+00,7.452433106022646035e-08,1.907955178216138375e-07,1.458081043930774028e-07,1.025402692976272078e-07,7.198205383209404816e-08,6.569252542900303903e-08,6.552392336198676642e-08
4.394618272841050555e+00,7.995124086106851757e-08,1.972785105222813344e-07,1.504822980275700550e-07,1.057662678134191442e-07,7.424802522958813698e-08,6.788041320442098495e-08,6.763859758792119617e-08
4.444555694618272490e+00,8.571988416140820824e-08,2.039436814278970606e-07,1.552718412040431377e-07,1.090686429578498910e-07,7.656886931274149506e-08,7.012987388189865891e-08,6.980804455456790206e-08
4.494493116395493537e+00,9.184746779294543520e-08,2.107958562493919479e-07,1.601791790665033446e-07,1.124488906734413810e-07,7.894584424188899957e-08,7.244276680758268595e-08,7.203365994296522758e-08
4.544430538172715472e+00,9.835173924476697745e-08,2.178399831031822069e-07,1.652068086059982838e-07,1.159085362810485827e-07,8.138025362294115242e-08,7.482102362869191066e-08,7.431688446284342500e-08
4.594367959949937408e+00,1.052509795036454700e-07,2.250811338660082935e-07,1.703572794430116261e-07,1.194491349658194278e-07,8.387344958378535127e-08,7.726665139598593503e-08,7.665920560235804487e-08
4.644305381727158455e+00,1.125639936645707370e-07,2.325245053938937763e-07,1.756331945928403292e-07,1.230722722649420451e-07,8.642683615493956873e-08,7.978173578614505344e-08,7.906215945950149501e-08
4.694242803504380390e+00,1.203100991899854519e-07,2.401754205924364756e-07,1.810372112111449911e-07,1.267795645568687957e-07,8.904187298855678348e-08,8.236844444597515124e-08,8.152733265986418213e-08
4.744180225281601437e+00,1.285091116982477274e-07,2.480393293247904864e-07,1.865720413166619980e-07,1.305726595517257838e-07,9.172007945381137340e-08,8.502903046004408413e-08,8.405636436573762194e-08
4.794117647058823373e+00,1.371813281646536110e-07,2.561218091426839084e-07,1.922404524878551157e-07,1.344532367826525691e-07,9.446303915107455920e-08,8.776583594301226574e-08,8.665094838190212489e-08
4.844055068836044420e+00,1.463475074219496145e-07,2.644285658245772322e-07,1.980452685300616150e-07,1.384230080978686193e-07,9.727240489214728076e-08,9.058129575754078666e-08,8.931283536381601402e-08
4.893992490613266355e+00,1.560288478517085439e-07,2.729654337035786980e-07,2.039893701094522540e-07,1.424837181533354396e-07,1.001499041992131388e-07,9.347794135824628132e-08,9.204383513433022442e-08
4.943929912390487402e+00,1.662469621632302774e-07,2.817383757659443806e-07,2.100756953498788305e-07,1.466371449059849955e-07,1.030973453811539281e-07,9.645840476172734490e-08,9.484581911548798551e-08
4.993867334167709338e+00,1.770238491628212183e-07,2.907534834988683804e-07,2.163072403884231340e-07,1.508851001076207600e-07,1.061166242524830341e-07,9.952542264221779485e-08,9.772072288244359908e-08
5.043804755944930385e+00,1.883818624233983668e-07,3.000169764637772711e-07,2.226870598851909508e-07,1.552294297997769933e-07,1.092097315674528751e-07,1.026818405519340878e-07,1.006705488470434063e-07
5.093742177722152320e+00,2.003436757724034910e-07,3.095352015684480063e-07,2.292182674826094068e-07,1.596720148100588737e-07,1.123787612499389317e-07,1.059306172646883044e-07,1.036973690791637329e-07
5.143679599499373367e+00,2.129322455249825562e-07,3.193146320079714662e-07,2.359040362091890445e-07,1.642147712507902378e-07,1.156259195085395794e-07,1.092748292408485701e-07,1.068033282744971522e-07
5.193617021276595302e+00,2.261707693993336597e-07,3.293618658408861563e-07,2.427475988224018067e-07,1.688596510211921250e-07,1.189535349360103550e-07,1.127176752112593637e-07,1.099906468781210896e-07
5.243554443053817238e+00,2.400826420620113002e-07,3.396836241628199012e-07,2.497522480850041750e-07,1.736086423148226926e-07,1.223640697027244025e-07,1.162624808773108611e-07,1.132616243738811879e-07
5.293491864831038285e+00,2.546914072628490223e-07,3.502867488358704337e-07,2.569213369687975096e-07,1.784637701346574221e-07,1.258601319653390337e-07,1.199127037239922840e-07,1.166186427503752832e-07
5.343429286608260220e+00,2.700207065319600358e-07,3.611781997280647219e-07,2.642582787794745644e-07,1.834270968190209815e-07,1.294444896242826891e-07,1.236719379425138432e-07,1.200641701551397127e-07
5.393366708385481267e+00,2.860942244250279636e-07,3.723650514139844802e-07,2.717665471958391778e-07,1.885007225826363763e-07,1.331200855770599169e-07,1.275439194589724963e-07,1.236007647495248838e-07
5.443304130162703203e+00,3.029356303177704070e-07,3.838544892855840579e-07,2.794496762163219116e-07,1.936867860784073754e-07,1.368900546286744056e-07,1.315325310656206053e-07,1.272310787777051811e-07
5.493241551939924250e+00,3.205685167659949573e-07,3.956538050219067183e-07,2.873112600053374866e-07,1.989874649872639329e-07,1.407577422356418256e-07,1.356418076516239874e-07,1.309578628643081076e-07
5.543178973717146185e+00,3.390163344640906922e-07,4.077703913683419585e-07,2.953549526316518691e-07,2.044049766455808798e-07,1.447267252760039434e-07,1.398759415308370029e-07,1.347839705562768921e-07
5.593116395494367232e+00,3.583023238519837307e-07,4.202117361806431428e-07,3.035844676905356963e-07,2.099415787224596456e-07,1.488008350542897501e-07,1.442392878651544835e-07,1.387123631258060696e-07
5.643053817271589168e+00,3.784494434385799969e-07,4.329854156962981988e-07,3.120035778011008850e-07,2.155995699626953986e-07,1.529841827672840148e-07,1.487363701835108077e-07,1.427461146525261939e-07
5.692991239048810215e+00,3.994802949283540746e-07,4.460990870058707070e-07,3.206161139698300169e-07,2.213812910157584250e-07,1.572811876734170614e-07,1.533718859986888346e-07,1.468884174045627768e-07
5.742928660826032150e+00,4.214170452570605221e-07,4.595604797090763843e-07,3.294259648109271386e-07,2.272891253768577379e-07,1.616966082251328633e-07,1.581507125268918010e-07,1.511425875396807190e-07
5.792866082603253197e+00,4.442813456623673906e-07,4.733773867536131689e-07,3.384370756137540210e-07,2.333255004734849262e-07,1.662355764391590059e-07,1.630779125186516653e-07,1.555120711494530501e-07
5.842803504380475133e+00,4.680942479355530306e-07,4.875576544675897349e-07,3.476534472472507469e-07,2.394928889401929427e-07,1.709036357933882653e-07,1.681587402142393555e-07,1.600004506712820227e-07
