t_requested_min,t_sim_min,c_bulk,r_c_melt_um,r_c_freeze_um
0.000000000000000000e+00,0.000000000000000000e+00,3.155003983353897476e+10,4.630043239990123127e-01,4.682070897691752442e-01
1.000000000000000000e+01,1.004184100418409997e+01,3.151836168339388657e+10,8.795891432810584831e+00,1.114958420541376682e+01
2.000000000000000000e+01,2.008368200836819994e+01,3.151830769863729858e+10,9.074202351923169374e+00,1.160058843701586007e+01
3.000000000000000000e+01,2.987447698744769653e+01,3.151825968230849838e+10,9.336971406569089638e+00,1.203353363351615890e+01
4.000000000000000000e+01,3.991631799163179295e+01,3.151822521471599960e+10,9.535177284136993947e+00,1.236478797405902341e+01
5.000000000000000000e+01,4.995815899581590003e+01,3.151820521508541870e+10,9.654091266653706427e+00,1.256549333350652553e+01
6.000000000000000000e+01,6.000000000000000000e+01,3.151818256485092545e+10,9.792398198169442125e+00,1.280081429927261283e+01
